page,file,line,element,name,type,handler,destination,disabled
"","src\App.jsx","73","button","Try again","button","onRetry","",""
"","src\App.jsx","76","button","Sign out","button","onSignOut","",""
"","src\App.jsx","82","Link","Privacy","","","/legal/privacy",""
"","src\App.jsx","83","Link","Data protection","","","/legal/data-protection",""
"","src\App.jsx","84","Link","Terms","","","/legal/terms",""
"","src\components\AppErrorBoundary.jsx","34","Button","Reload","button","() => window.location.reload()","",""
"","src\components\AppErrorBoundary.jsx","38","Button","Discover","button","() => window.location.assign(authService.appUrl('/'))","",""
"","src\components\AuthLayout.jsx","18","Link","FindIt home","","","/",""
"","src\components\AuthLayout.jsx","37","Link","Privacy","","","/legal/privacy",""
"","src\components\AuthLayout.jsx","38","Link","Data protection","","","/legal/data-protection",""
"","src\components\AuthLayout.jsx","39","Link","Terms","","","/legal/terms",""
"","src\components\AuthLayout.jsx","40","Link","Cookies","","","/legal/cookies",""
"","src\components\ProtectedRoute.jsx","94","button","Try again","button","() => setVerificationAttempt((attempt) => attempt + 1)","",""
"","src\components\UserNotRegisteredError.jsx","20","Button","Retry profile check","button","onRetry","",""
"","src\components\UserNotRegisteredError.jsx","25","Button","Contact support","button","","",""
"","src\components\UserNotRegisteredError.jsx","26","Link","Contact support","","","/help/contact",""
"","src\components\UserNotRegisteredError.jsx","32","Button","Sign out","button","() => onSignOut(true)","",""
"","src\components\admin\AdminSidebarCollapsible.jsx","27","Link","FINDit","","","/admin",""
"","src\components\admin\AdminSidebarCollapsible.jsx","31","Link","FindIt admin overview","","","/admin",""
"","src\components\admin\AdminSidebarCollapsible.jsx","32","button","isCollapsed ? 'Expand admin navigation' : 'Collapse admin navigation'","button","() => setIsCollapsed(!isCollapsed)","",""
"","src\components\admin\AdminSidebarCollapsible.jsx","52","Link","item.label","","","item.path",""
"","src\components\admin\AdminSidebarCollapsible.jsx","74","Button","isCollapsed ? ""Back to App"" : undefined","","","",""
"","src\components\admin\AdminSidebarCollapsible.jsx","80","Link","","","","/",""
"","src\components\admin\AdminSidebarCollapsible.jsx","85","Button","isCollapsed ? ""Logout"" : undefined","","handleLogout","",""
"","src\components\admin\AdminTourQueue.jsx","112","Input","Search Tour moderation queue","","(event) => { setQuery(event.target.value); pagination.reset(); }","",""
"","src\components\admin\AdminTourQueue.jsx","113","Select","Pending review Reported Processing failures Rejected Approved All Tours","","(value) => { setStatus(value); pagination.reset(); }","",""
"","src\components\admin\AdminTourQueue.jsx","113","SelectTrigger","Filter Tours by moderation status","","","",""
"","src\components\admin\AdminTourQueue.jsx","127","Dialog","Review Tour media {reviewTour?.parent_title} <div className=""flex aspect-video items-center justify-center rounded-xl bg-muted"" role=""status""><Loader2 className=""h-7 w-7 animate-spin text-primary"" aria-hidden=""true"" /><span className=""sr-only"">Loading review media</span></div> media.error ? <div className=""space-y-3 rounded-xl bg-destructive/10 p-4 text-sm text-destructive"" role=""alert""><p>{media.error.message}</p><Button type=""button"" size=""sm"" variant=""outline"" onClick={() => media.refetch()}>Retry review media</Button></div> : media.data?.playbackUrl ? <video src={media.data.playbackUrl} poster={media.data.thumbnailUrl || undefined} controls playsInline preload=""metadata"" className=""aspect-video w-full rounded-xl bg-black object-contain"" /> : media.data?.thumbnailUrl ? <img src={media.data.thumbnailUrl} alt=""Tour review thumbnail"" className=""aspect-video w-full rounded-xl bg-muted object-contain"" /> : <div className=""flex aspect-video items-center justify-center rounded-xl bg-muted text-sm text-muted-foreground"">No processed review media is available for this state.</div>","","","",""
"","src\components\admin\AdminTourQueue.jsx","131","Button","Retry review media","button","() => media.refetch()","",""
"","src\components\admin\AdminTourQueue.jsx","133","Button","View parent","","","",""
"","src\components\admin\AdminTourQueue.jsx","133","Link","View parent","","","reviewTour.parent_path",""
"","src\components\admin\AdminTourQueue.jsx","134","Button","Approve","","() => openDecision('approve', reviewTour)","",""
"","src\components\admin\AdminTourQueue.jsx","134","Button","Reject","","() => openDecision('reject', reviewTour)","",""
"","src\components\admin\AdminTourQueue.jsx","135","Button","Restore","","() => openDecision('restore', reviewTour)","",""
"","src\components\admin\AdminTourQueue.jsx","135","Button","Remove Tour","","() => openDecision('remove', reviewTour)","",""
"","src\components\admin\AdminTourQueue.jsx","140","Dialog","decisionCopy[decision.action][0] 'Moderation decision' decisionCopy[decision.action][1] '' Decision reason 'Saving…' 'Confirm decision'","","","",""
"","src\components\admin\AdminTourQueue.jsx","145","Textarea","Explain the policy or evidence behind this action","","(event) => setReason(event.target.value)","",""
"","src\components\admin\AdminTourQueue.jsx","146","Button","'Saving…' 'Confirm decision'","","confirmDecision","","reason.trim().length < 3 || mutation.isPending"
"","src\components\admin\AdminTourQueue.jsx","171","Button","Review media","","() => onReview(tour)","",""
"","src\components\admin\AdminTourQueue.jsx","172","Button","Parent","","","",""
"","src\components\admin\AdminTourQueue.jsx","172","Link","Parent","","","tour.parent_path",""
"","src\components\admin\AdminTourQueue.jsx","173","Button","Approve","","() => onDecision('approve', tour)","","busy"
"","src\components\admin\AdminTourQueue.jsx","173","Button","Reject","","() => onDecision('reject', tour)","","busy"
"","src\components\admin\AdminTourQueue.jsx","174","Button","Restore","","() => onDecision('restore', tour)","","busy"
"","src\components\admin\AdminTourQueue.jsx","174","Button","Remove Tour","","() => onDecision('remove', tour)","","busy"
"","src\components\admin\AdminTourQueue.jsx","175","Button","Remove Tour","","() => onDecision('remove', tour)","","busy"
