path,kind,component,source,line
"/login","public","Login","src/pages/Login","157"
"/register","public","Register","src/pages/Register","158"
"/forgot-password","public","ForgotPassword","src/pages/ForgotPassword","159"
"/reset-password","public","ResetPassword","src/pages/ResetPassword","160"
"/","public","Home","src/pages/Home","162"
"/search","public","Search","src/pages/Search","163"
"/property/:id","public","PropertyDetail","src/pages/PropertyDetail","164"
"/car/:id","public","CarDetail","src/pages/CarDetail","165"
"/machinery/:id","public","MachineryDetail","src/pages/MachineryDetail","166"
"/seller/:sellerId","public","SellerProfile","src/pages/SellerProfile","167"
"/business/:id","public","PublicBusinessProfile","src/pages/PublicBusinessProfile","168"
"/dealer/:id","public","PublicBusinessProfile","src/pages/PublicBusinessProfile","169"
"/services","public","Services","src/pages/Services","170"
"/service/:id","public","ServiceDetail","src/pages/ServiceDetail","171"
"/peek","public","","","172"
"/tours","public","LegacyPathRedirect","","173"
"/help","public","FAQs","src/pages/FAQs","174"
"/help/contact","public","ContactSupport","src/pages/ContactSupport","175"
"/legal","public","LegalPage","src/pages/LegalPage","176"
"/legal/:document","public","LegalPage","src/pages/LegalPage","177"
"/faqs","compatibility","Navigate","","178"
"/support","compatibility","Navigate","","179"
"/create","compatibility","LegacyPathRedirect","","180"
"/messages","compatibility","LegacyPathRedirect","","181"
"/messages/:conversationId","compatibility","LegacyConversationRedirect","","182"
"/post","protected","BusinessPublishingGate","","186"
"/create-service","protected","CuratedCreateService","src/pages/CuratedCreateService","187"
"/my-services","protected","MyServices","src/pages/MyServices","188"
"/saved","protected","Saved","src/pages/Saved","189"
"/profile","protected","Profile","src/pages/Profile","190"
"/my-listings","protected","MyListings","src/pages/MyListings","191"
"/peek-requests","public","BuyerPeekRequests","src/pages/BuyerPeekRequests","192"
"/settings","protected","Settings","src/pages/Settings","193"
"/chats","protected","Inquiries","src/pages/Inquiries","194"
"/chats/:conversationId","protected","Inquiries","src/pages/Inquiries","195"
"/business-profiles","protected","BusinessProfiles","src/pages/BusinessProfiles","196"
"/notifications","protected","NotificationCenter","src/pages/NotificationCenter","197"
"/admin","admin","AdminDashboard","src/pages/admin/AdminDashboard","202"
"/admin/listings","admin","AdminListings","src/pages/admin/AdminListings","203"
"/admin/peeks","admin","AdminPeeks","src/pages/admin/AdminPeeks","204"
"/admin/users","admin","AdminUsers","src/pages/admin/AdminUsers","205"
"/admin/reports","admin","AdminReports","src/pages/admin/AdminReports","206"
"/admin/support","admin","AdminSupportRequests","src/pages/admin/AdminSupportRequests","207"
"/admin/categories","admin","AdminCategories","src/pages/admin/AdminCategories","208"
"/admin/business-applications","admin","AdminBusinessApplications","src/pages/admin/AdminBusinessApplications","209"
"/admin/managed-listings","admin","AdminManagedListings","src/pages/admin/AdminManagedListings","210"
"/admin/audit-log","admin","AdminAuditLog","src/pages/admin/AdminAuditLog","211"
"*","fallback","PageNotFound","src/lib/PageNotFound","214"
